track0;track4;track9;track14;track18;trackPos;angle;speedX;accelerate;brake;steering
-1.0;-1.0;-1.0;-1.0;-1.0;2.78453;-1.79912;-0.0457845;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78449;-1.79912;-0.0502572;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78445;-1.79912;-0.0460446;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7844;-1.79913;-0.0503832;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78436;-1.79914;-0.0464599;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78432;-1.79914;-0.0513644;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78428;-1.79915;-0.0474851;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78424;-1.79916;-0.0510265;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7842;-1.79917;-0.0472629;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78416;-1.79917;-0.0512769;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78412;-1.79918;-0.0478549;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78408;-1.79918;-0.0513029;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78404;-1.79919;-0.0481622;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78399;-1.7992;-0.0515434;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78395;-1.79921;-0.0485346;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78391;-1.79921;-0.0513411;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78387;-1.79922;-0.0484117;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78383;-1.79923;-0.0509857;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78379;-1.79924;-0.0484277;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78375;-1.79924;-0.0507709;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78371;-1.79925;-0.0484404;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78367;-1.79926;-0.0507083;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78363;-1.79926;-0.0486337;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78359;-1.79927;-0.0505108;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78354;-1.79928;-0.0490646;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7835;-1.79928;-0.0511344;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78346;-1.79929;-0.0495644;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78342;-1.7993;-0.0520934;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78338;-1.79931;-0.0507382;0.0;0.0;0.0
