track0;track1;track2;track3;track4;track5;track6;track7;track8;track9;track10;track11;track12;track13;track14;track15;track16;track17;track18;trackPos;angle;speedX;rpm;gear;accelerate;brake;steering;classLabel
7.3335;7.44727;7.80434;8.46546;9.56351;11.3798;14.5723;21.0176;38.2723;200.0;22.227;10.8017;7.34931;5.70808;4.78689;4.23318;3.90125;3.72266;3.6665;-0.333363;8.51456E-4;-0.00941369;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44714;7.80406;8.46513;9.56313;11.3788;14.5709;21.0135;38.2612;200.0;22.2373;10.8038;7.35021;5.70856;4.78704;4.23351;3.90125;3.72266;3.6665;-0.333363;7.85653E-4;-0.00965446;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44714;7.80366;8.4648;9.56233;11.3779;14.5698;21.0106;38.2483;200.0;22.2467;10.8058;7.35118;5.7091;4.78731;4.23359;3.90149;3.72278;3.6665;-0.333363;7.19372E-4;-0.00981802;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44702;7.80371;8.46446;9.56192;11.377;14.5677;21.0069;38.2371;200.0;22.2572;10.8076;7.3518;5.70947;4.78747;4.23369;3.90149;3.72266;3.6665;-0.333363;6.56907E-4;-0.0100556;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44702;7.80339;8.46411;9.56146;11.3761;14.5661;21.0038;38.2265;200.0;22.2654;10.8098;7.35271;5.70991;4.78799;4.23392;3.90161;3.7229;3.6665;-0.333363;5.93964E-4;-0.0101987;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44678;7.80327;8.46399;9.56109;11.3755;14.5645;21.0002;38.2148;200.0;22.2741;10.8112;7.35358;5.71042;4.78816;4.23404;3.90173;3.7229;3.6665;-0.333363;5.33883E-4;-0.010419;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44666;7.80317;8.46364;9.56055;11.3746;14.5636;20.9971;38.2035;200.0;22.2841;10.8131;7.35444;5.71074;4.78833;4.23427;3.90173;3.7229;3.66663;-0.333363;4.72371E-4;-0.0106555;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44653;7.8029;8.46339;9.55999;11.374;14.5618;20.9934;38.1938;200.0;22.2922;10.8154;7.35525;5.71125;4.7885;4.2344;3.90186;3.7229;3.6665;-0.333363;4.14197E-4;-0.01089;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44641;7.80255;8.46261;9.55919;11.3723;14.559;20.9878;38.1728;200.0;22.3079;10.8188;7.35651;5.71182;4.78899;4.23469;3.9021;3.72302;3.6665;-0.333363;3.02617E-4;-0.0110802;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44653;7.80279;8.46289;9.55945;11.3729;14.56;20.9893;38.1789;200.0;22.3037;10.8172;7.356;5.71175;4.78886;4.23454;3.90198;3.72302;3.6665;-0.333363;3.37426E-4;-0.0112615;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44629;7.80225;8.4621;9.55824;11.3709;14.5563;20.9816;38.153;200.0;22.326;10.8221;7.35795;5.71262;4.78959;4.23484;3.9021;3.72314;3.6665;-0.333363;1.87222E-4;-0.0114318;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44629;7.80236;8.4625;9.55855;11.3714;14.5573;20.9837;38.1591;200.0;22.3194;10.8209;7.35756;5.71242;4.78934;4.23494;3.9021;3.72302;3.6665;-0.333363;2.22985E-4;-0.0116497;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44617;7.80205;8.46171;9.5572;11.3693;14.5531;20.9749;38.1318;200.0;22.3421;10.8256;7.35915;5.71343;4.79007;4.23512;3.90234;3.72314;3.6665;-0.333363;7.42117E-5;-0.0118028;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44629;7.80202;8.46185;9.55758;11.3697;14.5539;20.9773;38.1379;200.0;22.3353;10.8243;7.35895;5.71311;4.78982;4.2351;3.90222;3.72314;3.6665;-0.333363;1.10451E-4;-0.0120499;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44604;7.8017;8.46105;9.55647;11.3679;14.5506;20.9689;38.1123;200.0;22.359;10.829;7.36096;5.71424;4.79031;4.23541;3.90259;3.72314;3.6665;-0.333363;-3.7845E-5;-0.0121984;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44617;7.80165;8.46143;9.55671;11.3681;14.5514;20.9709;38.1185;200.0;22.3535;10.8276;7.36046;5.71399;4.79031;4.23539;3.90234;3.72327;3.6665;-0.333363;-6.51683E-7;-0.0124029;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44592;7.80121;8.46052;9.55559;11.3664;14.5479;20.9634;38.0913;200.0;22.3749;10.8318;7.3626;5.715;4.79093;4.23571;3.90271;3.72339;3.6665;-0.333363;-1.47994E-4;-0.0125508;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44592;7.80152;8.46077;9.55595;11.3668;14.5486;20.9652;38.0982;200.0;22.3685;10.8314;7.36186;5.71482;4.79069;4.23558;3.90259;3.72327;3.6665;-0.333363;-1.09847E-4;-0.0127378;942.478;1.0;0.0;0.0;0.0;0
7.33337;7.4458;7.80105;8.46021;9.55471;11.3649;14.5454;20.9572;38.0716;200.0;22.3906;10.8353;7.36375;5.71559;4.79143;4.2359;3.90271;3.72351;3.6665;-0.333363;-2.56236E-4;-0.0129368;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.4458;7.80112;8.46034;9.55494;11.3655;14.5461;20.9592;38.0795;200.0;22.3853;10.8345;7.36332;5.71528;4.79107;4.23578;3.90271;3.72339;3.6665;-0.333363;-2.17613E-4;-0.013065;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44568;7.80092;8.45976;9.55421;11.3638;14.5435;20.9539;38.0601;200.0;22.4015;10.8372;7.36436;5.71619;4.79158;4.23611;3.90283;3.72339;3.6665;-0.333363;-3.22517E-4;-0.0131854;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44556;7.8006;8.45937;9.5538;11.3632;14.5423;20.9506;38.0503;200.0;22.409;10.8393;7.36536;5.71636;4.79189;4.23615;3.90308;3.72339;3.6665;-0.333363;-3.76876E-4;-0.0132857;942.478;1.0;0.0;0.0;0.0;0
7.33337;7.44568;7.80061;8.4592;9.55337;11.3626;14.541;20.9481;38.0409;200.0;22.4167;10.841;7.36576;5.71673;4.79208;4.23631;3.90308;3.72351;3.6665;-0.333363;-4.28851E-4;-0.0134294;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44556;7.8004;8.45892;9.55283;11.3619;14.5397;20.9451;38.0309;200.0;22.424;10.8423;7.36658;5.71733;4.79215;4.2366;3.9032;3.72351;3.6665;-0.333363;-4.82257E-4;-0.0135094;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44543;7.80029;8.45875;9.55258;11.3612;14.5385;20.9421;38.0221;200.0;22.4323;10.8442;7.36723;5.71758;4.79247;4.23665;3.9032;3.72351;3.6665;-0.333363;-5.33756E-4;-0.0137273;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44531;7.8002;8.45859;9.55203;11.3605;14.537;20.939;38.0125;200.0;22.4411;10.8455;7.36818;5.71794;4.79266;4.23682;3.90332;3.72363;3.6665;-0.333363;-5.86685E-4;-0.0138335;942.478;1.0;0.0;0.0;0.0;0
7.33362;7.44519;7.79996;8.45817;9.55153;11.3598;14.5358;20.9366;38.0041;200.0;22.4488;10.8469;7.36846;5.71831;4.79299;4.23675;3.90332;3.72351;3.6665;-0.333363;-6.37229E-4;-0.0139732;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44507;7.79974;8.45789;9.55123;11.3589;14.5346;20.9341;37.9945;200.0;22.4561;10.8487;7.36916;5.71867;4.79318;4.23703;3.90332;3.72363;3.6665;-0.333363;-6.90158E-4;-0.0140492;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44507;7.79973;8.45771;9.55084;11.3583;14.5332;20.9312;37.9852;200.0;22.4635;10.85;7.36999;5.71898;4.79338;4.2371;3.90356;3.72375;3.6665;-0.333363;-7.40226E-4;-0.0141714;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44519;7.79938;8.45742;9.55041;11.3577;14.532;20.928;37.9752;200.0;22.4723;10.852;7.3707;5.71928;4.79333;4.23727;3.90344;3.72375;3.6665;-0.333363;-7.92201E-4;-0.014325;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44495;7.79936;8.45712;9.54996;11.3572;14.5305;20.9256;37.9666;200.0;22.4785;10.8533;7.37129;5.71978;4.79366;4.23745;3.90369;3.72363;3.6665;-0.333363;-8.41792E-4;-0.0145473;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44495;7.79901;8.45707;9.54959;11.3563;14.5296;20.9227;37.9574;200.0;22.4862;10.8554;7.37163;5.72015;4.79386;4.2375;3.90369;3.72375;3.6665;-0.333363;-8.93291E-4;-0.0147028;942.478;1.0;0.0;0.0;0.0;0
7.33362;7.44482;7.79899;8.45665;9.54932;11.3557;14.5283;20.9199;37.9486;200.0;22.4935;10.8563;7.37283;5.72035;4.79418;4.23769;3.90369;3.72388;3.6665;-0.333363;-9.42405E-4;-0.0148177;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44482;7.79899;8.4566;9.54882;11.3551;14.5272;20.9174;37.9394;200.0;22.5009;10.8576;7.37317;5.7206;4.79426;4.23775;3.90381;3.72375;3.6665;-0.333363;-9.9295E-4;-0.0148739;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.4447;7.79871;8.45629;9.54842;11.3543;14.5259;20.9148;37.9314;200.0;22.5077;10.8599;7.37389;5.72122;4.79447;4.23794;3.90381;3.72388;3.6665;-0.333363;-0.00104159;-0.0149611;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44458;7.79859;8.45611;9.54798;11.3537;14.5246;20.9123;37.9223;200.0;22.5167;10.8612;7.37448;5.72153;4.79467;4.238;3.90405;3.72388;3.6665;-0.333363;-0.00109213;-0.0150152;942.478;1.0;0.0;0.0;0.0;0
7.33337;7.44458;7.79842;8.4558;9.54758;11.3531;14.5233;20.9093;37.9139;200.0;22.5239;10.8625;7.37507;5.72161;4.795;4.23819;3.90405;3.724;3.6665;-0.333363;-0.00114029;-0.0151237;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44458;7.7983;8.4555;9.54732;11.3525;14.5223;20.9065;37.9044;200.0;22.5324;10.8641;7.37584;5.7221;4.79496;4.23837;3.90417;3.724;3.6665;-0.333363;-0.00119084;-0.0150711;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44458;7.79826;8.45531;9.54686;11.3518;14.521;20.9044;37.8966;200.0;22.5389;10.8653;7.37637;5.72255;4.79529;4.23833;3.90417;3.724;3.6665;-0.333363;-0.00123852;-0.015066;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44446;7.79812;8.45513;9.54653;11.3509;14.5198;20.9015;37.8874;200.0;22.5463;10.8667;7.37703;5.72305;4.7955;4.23851;3.9043;3.724;3.6665;-0.333363;-0.00128811;-0.0150623;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44446;7.79796;8.45469;9.54613;11.3506;14.5187;20.899;37.8783;200.0;22.5534;10.8689;7.37787;5.72295;4.79571;4.23872;3.9043;3.72412;3.6665;-0.333363;-0.00133532;-0.0151243;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44434;7.79781;8.45463;9.5458;11.3498;14.5174;20.8961;37.8696;200.0;22.5614;10.8703;7.37846;5.72339;4.79579;4.2389;3.90442;3.72412;3.6665;-0.333363;-0.00138443;-0.0151603;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44421;7.79789;8.45444;9.54533;11.3491;14.5167;20.8935;37.8613;200.0;22.5677;10.8715;7.37887;5.72384;4.79612;4.23886;3.90454;3.72412;3.6665;-0.333363;-0.00143164;-0.0152602;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44409;7.79749;8.45425;9.54487;11.3485;14.5152;20.8913;37.8524;200.0;22.5756;10.8731;7.37971;5.72416;4.79621;4.23905;3.90454;3.72412;3.6665;-0.333363;-0.00148028;-0.0152937;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44421;7.79744;8.45381;9.54458;11.3479;14.514;20.8887;37.844;200.0;22.5828;10.8745;7.37988;5.72449;4.79655;4.23914;3.90454;3.72424;3.66638;-0.333363;-0.00152701;-0.0153973;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44397;7.79715;8.45332;9.54368;11.3465;14.5115;20.8833;37.8265;200.0;22.5974;10.8774;7.38125;5.72512;4.79683;4.23951;3.90466;3.72437;3.6665;-0.333363;-0.00162571;-0.0154595;942.478;1.0;0.0;0.0;0.0;0
7.3335;7.44409;7.79736;8.45365;9.54429;11.3473;14.5127;20.8859;37.8349;200.0;22.5904;10.8758;7.38089;5.72485;4.79674;4.2393;3.90466;3.72424;3.6665;-0.333363;-0.00158041;-0.0155252;942.478;1.0;0.0;0.0;0.0;0
