SPEED_X;SPEED_Y;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL_CODE;LABEL_NAME
0,55227;0,60447;0,50338;0,96157;0,00439;0,00887;0,03203;1,00000;0,48838;0,18937;0,10204;2;Gira Destra
0,55156;0,60234;0,50562;0,96516;0,00408;0,00853;0,03688;1,00000;0,43423;0,18134;0,10011;2;Gira Destra
0,55072;0,60114;0,50826;0,96770;0,00391;0,00853;0,05021;1,00000;0,38375;0,17249;0,09780;2;Gira Destra
0,54987;0,60301;0,51122;0,96918;0,00387;0,00891;0,10096;0,75698;0,33933;0,16341;0,09523;2;Gira Destra
0,54923;0,60860;0,51438;0,96970;0,00397;0,00977;1,00000;0,59091;0,30181;0,15462;0,09257;1;Accelera
0,54908;0,61322;0,51745;0,96935;0,00419;0,01112;1,00000;0,48719;0,27250;0,14688;0,09009;1;Accelera
0,54907;0,61107;0,51948;0,96799;0,00451;0,01267;1,00000;0,43603;0,25579;0,14204;0,08844;1;Accelera
0,54929;0,60420;0,52053;0,96579;0,00489;0,01421;1,00000;0,41294;0,24755;0,13945;0,08747;1;Accelera
0,54960;0,59505;0,52084;0,96290;0,00533;0,01564;1,00000;0,40559;0,24463;0,13837;0,08699;1;Accelera
0,54993;0,58609;0,52081;0,95951;0,00582;0,01705;1,00000;0,40468;0,24396;0,13794;0,08670;1;Accelera
0,55025;0,57879;0,52075;0,95571;0,00636;0,01859;1,00000;0,40435;0,24345;0,13753;0,08641;1;Accelera
0,55067;0,57179;0,52075;0,95157;0,00695;0,02033;1,00000;0,40251;0,24236;0,13693;0,08603;1;Accelera
0,66101;0,34836;0,45858;0,62700;0,02985;0,04514;0,09515;0,23908;0,20683;0,15289;0,09358;0;Gira Sinistra
0,65991;0,34643;0,45808;0,64235;0,02851;0,04289;0,08443;0,23910;0,20686;0,15344;0,09526;0;Gira Sinistra
0,65883;0,34568;0,45769;0,65783;0,02719;0,04075;0,07726;0,23888;0,20664;0,15372;0,09672;0;Gira Sinistra
0,65777;0,34540;0,45747;0,67340;0,02590;0,03868;0,07145;0,23852;0,20629;0,15381;0,09801;0;Gira Sinistra
0,65672;0,34556;0,45735;0,68900;0,02462;0,03667;0,06644;0,23804;0,20582;0,15374;0,09911;0;Gira Sinistra
0,65569;0,34662;0,45732;0,70462;0,02337;0,03475;0,06205;0,23738;0,20516;0,15349;0,09999;0;Gira Sinistra
0,65469;0,34840;0,45740;0,72023;0,02214;0,03289;0,05814;0,23653;0,20433;0,15305;0,10066;0;Gira Sinistra
0,93454;0,65259;0,51051;0,26988;0,08505;0,15658;0,30796;0,46142;0,20192;0,04921;0,02711;2;Gira Destra
0,93382;0,66192;0,51147;0,26840;0,08607;0,16051;0,31982;0,47950;0,15431;0,04796;0,02671;2;Gira Destra
0,93313;0,66737;0,51221;0,26653;0,08698;0,16406;0,33043;0,49534;0,13676;0,04691;0,02634;2;Gira Destra
0,93248;0,66926;0,51274;0,26428;0,08781;0,16720;0,33962;0,50879;0,12617;0,04601;0,02598;1;Accelera
0,93196;0,66821;0,51299;0,26169;0,08847;0,16966;0,34665;0,51887;0,11957;0,04532;0,02567;1;Accelera
0,93179;0,66110;0,51275;0,25886;0,08873;0,17054;0,34901;0,52213;0,11741;0,04503;0,02545;1;Accelera
0,95279;0,33235;0,47831;0,58796;0,03697;0,05858;0,75539;0,35120;0,23715;0,14376;0,08188;0;Gira Sinistra
0,95200;0,31915;0,47600;0,59942;0,03528;0,05546;1,00000;0,37105;0,24331;0,14506;0,08346;0;Gira Sinistra
0,95127;0,31190;0,47401;0,61228;0,03363;0,05303;1,00000;0,39002;0,24848;0,14557;0,08443;0;Gira Sinistra
0,95062;0,31051;0,47234;0,62657;0,03198;0,05123;1,00000;0,40702;0,25235;0,14532;0,08487;0;Gira Sinistra
0,95007;0,31450;0,47099;0,64225;0,03041;0,05006;1,00000;0,42108;0,25472;0,14435;0,08488;0;Gira Sinistra
0,94961;0,32331;0,46993;0,65933;0,02917;0,04950;1,00000;0,43149;0,25552;0,14277;0,08451;0;Gira Sinistra
