SPEEDX;SPEEDY;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL
27.9697;0.0000;-0.0026;-0.3326;9.5279;14.4550;37.4801;200.0000;23.2502;7.4079;4.8068;0
28.6484;0.0000;-0.0027;-0.3326;9.5267;14.4509;37.4567;200.0000;23.2842;7.4098;4.8076;0
29.3385;0.0000;-0.0028;-0.3326;9.5256;14.4470;37.4326;200.0000;23.3181;7.4116;4.8080;0
30.0420;-0.0000;-0.0029;-0.3326;9.5241;14.4426;37.4081;200.0000;23.3547;7.4138;4.8088;0
30.7607;-0.0000;-0.0031;-0.3324;9.5218;14.4364;37.3790;200.0000;23.3979;7.4179;4.8107;0
31.4960;-0.0000;-0.0032;-0.3322;9.5194;14.4300;37.3492;200.0000;23.4419;7.4218;4.8127;0
32.2487;0.0000;-0.0033;-0.3321;9.5171;14.4239;37.3197;200.0000;23.4838;7.4255;4.8141;0
33.0190;0.0000;-0.0035;-0.3319;9.5151;14.4178;37.2908;200.0000;23.5261;7.4291;4.8156;0
33.8051;0.0000;-0.0036;-0.3318;9.5129;14.4119;37.2615;200.0000;23.5694;7.4321;4.8171;0
34.6066;0.0000;-0.0038;-0.3317;9.5108;14.4057;37.2312;200.0000;23.6127;7.4357;4.8186;0
35.4231;0.0000;-0.0039;-0.3317;9.5089;14.3997;37.2024;200.0000;23.6558;7.4388;4.8198;0
35.7560;0.0000;-0.0041;-0.3316;9.5071;14.3940;37.1725;200.0000;23.6974;7.4421;4.8208;0
35.7362;0.0000;-0.0042;-0.3315;9.5051;14.3875;37.1435;200.0000;23.7412;7.4454;4.8220;0
35.7256;0.0000;-0.0044;-0.3315;9.5033;14.3817;37.1148;200.0000;23.7828;7.4484;4.8230;0
35.7191;-0.0000;-0.0045;-0.3314;9.5011;14.3752;37.0851;200.0000;23.8266;7.4518;4.8244;0
35.7137;0.0000;-0.0047;-0.3313;9.4992;14.3687;37.0566;200.0000;23.8689;7.4552;4.8257;0
35.7086;0.0005;-0.0049;-0.3312;9.4970;14.3624;37.0266;200.0000;23.9128;7.4588;4.8271;0
35.7037;-0.0001;-0.0051;-0.3311;9.4947;14.3552;36.9932;200.0000;23.9576;7.4626;4.8286;0
35.7025;-0.0010;-0.0052;-0.3310;9.4927;14.3488;36.9678;200.0000;23.9983;7.4660;4.8300;0
36.0137;-0.0003;-0.0054;-0.3309;9.4904;14.3415;36.9380;200.0000;24.0413;7.4700;4.8315;0
36.3560;-0.0001;-0.0056;-0.3308;9.4881;14.3343;36.9076;200.0000;24.0837;7.4739;4.8329;0
36.7007;0.0001;-0.0057;-0.3306;9.4848;14.3258;36.8747;200.0000;24.1327;7.4794;4.8354;0
37.0476;0.0001;-0.0059;-0.3303;9.4808;14.3160;36.8390;200.0000;24.1842;7.4856;4.8385;0
